Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,Ticker
2019-01-03,35.994998931884766,36.43000030517578,35.5,35.54750061035156,34.07539749145508,365248800,-0.09960729171391569,AAPL
2019-01-04,36.13249969482422,37.13750076293945,35.95000076293945,37.064998626708984,35.530052185058594,234428400,0.04268929493686158,AAPL
2019-01-07,37.17499923706055,37.20750045776367,36.474998474121094,36.98249816894531,35.45096969604492,219111200,-0.0022257915243628634,AAPL
2019-01-08,37.38999938964844,37.95500183105469,37.130001068115234,37.6875,36.12678146362305,164101200,0.019063280168991392,AAPL
2019-01-09,37.8224983215332,38.63249969482422,37.407501220703125,38.32749938964844,36.74026107788086,180396400,0.016981297237218307,AAPL
2019-01-10,38.125,38.49250030517578,37.71500015258789,38.45000076293945,36.857688903808594,143122800,0.0031961619891271997,AAPL
2019-01-11,38.220001220703125,38.42499923706055,37.877498626708984,38.0724983215332,36.49583435058594,108092800,-0.009817613745859766,AAPL
2019-01-14,37.712501525878906,37.817501068115234,37.30500030517578,37.5,35.94704055786133,129756800,-0.015037162527996806,AAPL
2019-01-15,37.567501068115234,38.34749984741211,37.51250076293945,38.26750183105469,36.682762145996094,114843600,0.020466819429836747,AAPL
2019-01-16,38.27000045776367,38.970001220703125,38.25,38.73500061035156,37.130889892578125,122278800,0.012216303254332317,AAPL
2019-01-17,38.54999923706055,39.415000915527344,38.314998626708984,38.96500015258789,37.351375579833984,119284800,0.0059380663348962415,AAPL
2019-01-18,39.375,39.470001220703125,38.994998931884766,39.20500183105469,37.58142852783203,135004000,0.006159155972886188,AAPL
2019-01-22,39.102500915527344,39.182498931884766,38.154998779296875,38.32500076293945,36.737876892089844,121576000,-0.022445970490916012,AAPL
2019-01-23,38.537498474121094,38.78499984741211,37.92499923706055,38.47999954223633,36.886451721191406,92522400,0.004044186590802967,AAPL
2019-01-24,38.52750015258789,38.619998931884766,37.935001373291016,38.17499923706055,36.59408187866211,101766000,-0.007926212169692914,AAPL
2019-01-25,38.869998931884766,39.532501220703125,38.58000183105469,39.439998626708984,37.806697845458984,134142000,0.03313694194645023,AAPL
2019-01-28,38.9474983215332,39.08250045776367,38.415000915527344,39.07500076293945,37.45681381225586,104768400,-0.009254551525058718,AAPL
